Designator,Footprint,X,Y,Layer,Rotation,Comment
"C1","1206",-428,-50,TOP,0,CAP
"C2","0603",-456,25,TOP,180,CAP
"C3","0603",-405.664,79.9772,TOP,0,CAP
"C4","1206",-565,273,TOP,-90,CAP
"C5","1206",-340,273,TOP,-90,CAP
"C6","0603",2285.18,160,TOP,180,CAP
"C7","0603",128.5,-850,TOP,0,CAP
"C8","0603",128.5,-250,TOP,0,CAP
"C9","0603",128.5,350,TOP,0,CAP
"C10","0603",766,180,TOP,0,CAP
"C11","0603",1335,-289,TOP,90,CAP
"C12","0603",706,-588.78,TOP,0,CAP
"C13","0603",1665,-556,TOP,270,CAP
"C14","0603",1626,40,TOP,180,CAP
"C15","0603",766,100,TOP,0,CAP
"C16","1206",1688,335,TOP,180,CAP
"C17","1206",1725,-763,TOP,-90,CAP
"C18","0603",-636,395,TOP,180,CAP
"J1","SFW12R",2210.63,-566.535,TOP,270,CONN
"R1","0603",2285.18,90.2756,TOP,0,RES
"R2","0603",2215,-176,TOP,270,RES
"R3","0603",766,-112.5,TOP,0,RES
"RN1","0804",76.6535,-774.528,TOP,180,RESNET
"RN2","0804",76.6535,-669.528,TOP,180,RESNET
"RN3","0804",76.6535,-529.528,TOP,180,RESNET
"RN4","0804",76.6535,-424.528,TOP,180,RESNET
"RN5","0804",76.6535,-169.528,TOP,180,RESNET
"RN6","0804",76.6535,-64.5276,TOP,180,RESNET
"RN7","0804",76.6535,75.4724,TOP,180,RESNET
"RN8","0804",76.6535,180.472,TOP,180,RESNET
"RN9","0804",76.6535,430.157,TOP,180,RESNET
"RN10","0804",76.6535,535.472,TOP,180,RESNET
"RN11","0804",76.6535,655.472,TOP,180,RESNET
"RN12","0804",76.6535,760.472,TOP,180,RESNET
"RN13","0804",1901.65,-379.528,TOP,0,RESNET
"U1",MSOP-8,-451.614,236.614,TOP,90,IC
"U2",TSSOP-48,375.394,-598.622,TOP,0,IC
"U3",TSSOP-48,374.606,1.37795,TOP,0,IC
"U4",TSSOP-48,374.606,603.622,TOP,0,IC
"U5",TQFP-100,1203.15,131.299,TOP,0,IC
"U6",TSOP-48,1212.8,-598.622,TOP,0,IC
"U7",LQFP-64,1960.59,57.6378,TOP,180,IC
"U8",TSSOP14,-554.843,526.772,TOP,180,IC
"X1",CSTNE,2288.68,-24.7244,TOP,90,OSC
